hon väntar,she waits
det väntade,it waited
att växa,to grow
vi växer,we grow
ni växte,you (pl) grew
att åka,to go (by vehicle)
de åker,they go (by vehicle)
jag åkte,I went (by vehicle)
att älska,to love
du älskar,you love
han älskade,he loved
att äta,to eat
hon äter,she eats
det åt,it ate
att önska,to wish
vi önskar,we wish
ni önskade,you (pl) wished
att öppna,to open
de öppnar,they open
jag öppnade,I opened
att arbeta,to work
jag arbetar,I work
du arbetade,you worked
att baka,to bake
han bakar,he bakes
hon bakade,she baked
att be,to ask; to pray
vi ber,we ask; we pray
ni bad,you (pl) asked; you (pl) played
att behöva,to need
de behöver,they need
jag behövde,I needed
att besöka,to visit
du besöker,you visit
han besökte,he visited
att betyda,to mean; to be important
det betyder,it means
det betydde,it meant
att binda,to bind
hon binder,she binds
vi band,we bound (past tense)
att bita,to bite
ni biter,you (pl) bite
de bet,they bit
att bjuda,to offer; to invite
jag bjuder,I offer; I invite
du bjöd,you offered; you invited
att bli,to become
han blir,he becomes
hon blev,she became
att blåsa,to blow
det blåser,it blows
det blåste,it blew
att bo,to live; reside
vi bor,we live; we reside
ni bodde,you (pl) lived; you (pl) reside
att brinna,to burn
de brinner,they burn
jag brann,I burned
att brista,to burst
det brister,it bursts
han brast,he burst
att bryta,to break
hon bryter,she breaks
det bröt,it broke
att bygga,to build
vi bygger,we build
ni byggde,you (pl) built
att bära,to carry
de bär,they carry
jag bar,I carried
att böra,to ought to
du bör,you ought to
han borde,he should have
att börja,to begin
hon börjar,she begins
det började,it began
att dra,to draw; to pull
vi drar,we draw; we pull
ni drog,you (pl) drew; you (pl) pulled
att dricka,to drink
de dricker,they drink
jag drack,I drank
att driva,to drift; to operate
du driver,you drift; you operate
han drev,he drifted; he operated
att drömma,to dream
hon drömmer,she dreams
vi drömde,we dreamt
att duga,to serve; to be fit
de duger,they serve; they are fit
jag dugde,I served; I was fit
att dö,to die
du dör,you die
han dog,he died
att dölja,to conceal
hon döljer,she conceals
vi dolde,we concealed
att falla,to fall
ni faller,you (pl) fall
de föll,they fell
att fara,to go; to travel
jag far,I go; I travel
du for,you went; you traveled
att finna,to find
han finner,he finds
hon fann,she found
att finnas,to exist
vi finns,we exist
ni fanns,you (pl) existed
att fly,to flee
de flyr,they flee
jag flydde,I fled
att flyga,to fly
du flyger,you fly
han flög,he flew
att flyta,to float
hon flyter,she floats
det flöt,it floated
att flytta,to move
vi flyttar,we move
ni flyttade,you (pl) moved
att fordra,to demand; to require
de fordrar,they demand; they require
jag fordrade,I demanded; I required
att frysa,to freeze
du fryser,you freeze
han frös,he froze
att fråga,to ask
hon frågar,she asks
vi frågade,we asked
att få,to get; may
ni får,you (pl) get; you (pl) may
de fick,they got; they had permission to
att föda,to give birth to
jag föder,I give birth to
du födde,you gave birth to
att följa,to follow
han följer,he follows
hon följde,she followed
att föra,to lead
vi för,we lead
ni förde,you (pl) led
att förklara,to explain
de förklarar,they explain
jag förklarade,I explained
att förstöra,to destroy
du förstör,you destroy
han förstörde,he destroyed
att försvinna,to disappear
hon försvinner,she disappears
vi försvann,we disappeared
att gala,to crow; to yell
det gal,it crows
det gol,it crowed
att ge,to give
ni ger,you (pl) give
de gav,they gave
att gjuta,to cast; to pour
jag gjuter,I cast; I pour
du göt,you cast (past); you poured
att glida,to glide
han glider,he glides
hon gled,she glided
att glädja,to please; to gladden
det gläder,it pleases; it gladdens
vi gladde,we pleased; we gladdened
att glädja sig,to be happy; to rejoice over
jag gläder mig,I am happy; I rejoice over
du gladde dig,you were happy; you rejoiced over
att glömma,to forget
ni glömmer,you (pl) forget
